,2023 PPG,2023 OPP PPG,2023 DIFF,Overall Record,Playoff Appearances,Championships,2023 ORTG,2023 DRtg,2023 FG%,2023 2P%,2023 3P%,2023 FT%,2023 APG,2023 TOV,2023 OPP FG%,2023 OPP 3P%,2023 SPG,2023 BPG,2023 ORB,2023 DRB,2023 TS%,2023 EFG%,2023 Pace,2023 Longest Win Streak,2023 Longest Losing Streak,Clutch Games Won,Clutch Games Lost,Clutch games Win%,Clutch Games Played
Oklahoma City Thunder,120.1,112.7,7.4,0.536,33,1,119.5,112.1,0.499,0.567,0.389,0.825,27.1,12.7,0.455,0.361,7.1,6.6,8.8,33.2,0.608,0.573,99.8,6,3,24,14,0.631578947,38
Denver Nuggets,114.9,109.6,5.3,0.513,39,1,118.5,113,0.496,0.562,0.374,0.762,29.5,12.6,0.462,0.374,7.1,5.6,10.7,33.7,0.589,0.562,96.8,6,3,26,14,0.65,40
Minnesota Timberwolves,113,106.5,6.5,0.411,12,0,115.6,109,0.485,0.546,0.387,0.777,26.6,14.2,0.45,0.354,7.9,6.1,9.4,34.2,0.594,0.56,97.1,6,2,21,15,0.583333333,36
LA Clippers,115.6,112.3,3.3,0.423,18,0,118.8,115.4,0.489,0.555,0.381,0.825,25.6,13.1,0.468,0.363,7.8,5,10,32.9,0.599,0.561,97.2,5,6,22,18,0.55,40
Dallas Mavericks,117.9,115.6,2.3,0.507,25,1,117.6,115.4,0.481,0.569,0.369,0.758,25.7,12.5,0.475,0.368,6.9,5,9.7,33.2,0.592,0.562,100.1,7,3,23,9,0.71875,32
Pheonic Suns,116.2,113.2,3,0.537,33,0,117.6,114.6,0.493,0.561,0.382,0.808,27,14.9,0.464,0.364,7.4,6,10.1,33.9,0.603,0.565,98.3,7,3,20,21,0.487804878,41
Los Angeles Lakers,118,117.4,0.6,0.591,63,17,115.9,115.3,0.499,0.567,0.377,0.782,28.5,14,0.474,0.376,7.4,5.5,8.2,34.9,0.601,0.566,100.9,5,4,24,9,0.727272727,33
New Orleans Pelicans,115.1,110.7,4.4,0.47,9,0,117.4,112.9,0.486,0.548,0.383,0.771,27,13,0.464,0.349,8.3,4.6,10.4,33.6,0.591,0.558,97.9,4,5,14,15,0.482758621,29
Sacramento Kings,116.6,114.8,1.8,0.458,30,1,116.9,115.2,0.477,0.561,0.366,0.745,28.3,13.1,0.48,0.387,7.6,4.2,10.8,33.2,0.582,0.556,98.8,6,4,20,19,0.512820513,39
Golden State Warriors,117.8,115.2,2.6,0.486,37,7,117.8,115.2,0.477,0.548,0.38,0.78,29.3,14.3,0.466,0.359,7,4.6,12.1,34.6,0.586,0.557,99.2,6,6,24,24,0.5,48
Houston Rockets,114.3,113.2,1.1,0.514,34,2,114.5,113.4,0.459,0.53,0.352,0.463,24.8,12.7,0.463,0.348,7.8,4.6,11.5,34,0.565,0.529,99,11,5,17,23,0.425,40
Utah Jazz,115.7,120.5,-4.8,0.54,31,0,115.5,120.4,0.467,0.544,0.354,0.83,27.2,15.7,0.487,0.395,6.5,5.6,12.2,33.2,0.579,0.539,99.5,6,13,16,17,0.484848485,33
Memphis Grizzlies,105.8,112.8,-7,0.432,13,0,107.2,114.3,0.435,0.502,0.346,0.764,24.7,15.1,0.474,0.378,8.2,6.1,10.9,31.7,0.543,0.509,98.2,3,9,15,21,0.416666667,36
San Antonio Spurs,112.1,118.6,-6.5,0.582,47,5,110,116.4,0.462,0.539,0.347,0.782,29.9,15.1,0.462,0.347,7.1,6.3,10.4,33.9,0.563,0.532,101.1,3,18,13,28,0.317073171,41
Portland Trail Blazers,106.4,115.4,-9,0.525,37,1,108.3,117.5,0.439,0.494,0.345,0.791,23.1,15.2,0.491,0.351,7.6,4.3,12.6,30.1,0.539,0.502,97.2,3,10,17,20,0.459459459,37
